iter	Passed	Remaining
0	1	101
1	1	86
2	2	80
3	3	77
4	3	75
5	4	72
6	5	70
7	6	69
8	6	67
9	7	66
10	8	65
11	8	64
12	9	64
13	10	65
14	11	64
15	12	64
16	13	63
17	13	62
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	53
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	34
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
