iter	RMSE
0	14.56337031
1	14.14319978
2	13.73436108
3	13.33688209
4	12.94963594
5	12.5845193
6	12.21656407
7	11.8829581
8	11.58459592
9	11.26657294
10	10.94578889
11	10.64252358
12	10.361824
13	10.12468877
14	9.85238639
15	9.609268624
16	9.375944429
17	9.134269993
18	8.925146208
19	8.710788098
20	8.494622444
21	8.288326377
22	8.107432742
23	7.917035004
24	7.72519224
25	7.566418134
26	7.413226596
27	7.250100904
28	7.093484019
29	6.940970453
30	6.816993053
31	6.689692199
32	6.561713047
33	6.447583356
34	6.321314669
35	6.210441788
36	6.098672386
37	5.994425228
38	5.896675865
39	5.799925215
40	5.70377596
41	5.613558996
42	5.529952107
43	5.445407215
44	5.369083065
45	5.292763939
46	5.218223924
47	5.159897023
48	5.100144235
49	5.037804224
50	4.984773067
51	4.925633328
52	4.876496125
53	4.822809493
54	4.774448662
55	4.726873721
56	4.679068982
57	4.634398564
58	4.591646556
59	4.555941374
60	4.517310009
61	4.478330961
62	4.439345766
63	4.404744758
64	4.368079755
65	4.332917803
66	4.29599671
67	4.265307714
68	4.23234744
69	4.204520247
70	4.178361504
71	4.154975781
72	4.125150533
73	4.097531637
74	4.073528364
75	4.050632888
76	4.024743742
77	4.001310672
78	3.979443417
79	3.960008582
80	3.93829212
81	3.913182255
82	3.890374795
83	3.869146712
84	3.851302608
85	3.834736426
86	3.816954492
87	3.793099517
88	3.780465491
89	3.766778736
90	3.754718197
91	3.736703581
92	3.722467426
93	3.711221425
94	3.694818949
95	3.683130158
96	3.671043929
97	3.65997738
98	3.646702923
99	3.635060516
100	3.622185641
101	3.611916812
102	3.59739914
103	3.583666714
104	3.569807077
105	3.555438382
106	3.544514011
107	3.534197484
108	3.524986301
109	3.513451054
110	3.505818031
111	3.491932287
112	3.484110533
113	3.474392226
114	3.465589047
115	3.45647014
116	3.449593535
117	3.438685268
118	3.432813369
119	3.423834168
120	3.413943857
121	3.403252706
122	3.39792097
123	3.39038312
124	3.379284606
125	3.368738705
126	3.362781125
127	3.35440022
128	3.346222737
129	3.342809024
130	3.334864546
131	3.323128093
132	3.319658904
133	3.312160915
134	3.303801471
135	3.297572125
136	3.292558704
137	3.288025873
138	3.284716572
139	3.274883731
140	3.26700776
141	3.261291485
142	3.254818165
143	3.247254738
144	3.241339558
145	3.232528213
146	3.222419652
147	3.218896348
148	3.208743819
149	3.203492186
150	3.199358443
151	3.195734519
152	3.18487237
153	3.176087276
154	3.173889066
155	3.169096864
156	3.162362339
157	3.15785633
158	3.151049608
159	3.145976615
160	3.142491736
161	3.137104378
162	3.131996956
163	3.127399139
164	3.123045781
165	3.113662909
166	3.110128513
167	3.104748632
168	3.102516447
169	3.09482488
170	3.088604497
171	3.079414659
172	3.068562286
173	3.065974917
174	3.061642952
175	3.059429101
176	3.053812164
177	3.049412916
178	3.044168443
179	3.033634166
180	3.026702452
181	3.021609652
182	3.018477637
183	3.012732118
184	3.009446678
185	3.007476002
186	3.005082546
187	3.000018499
188	2.991393255
189	2.984009581
190	2.977732265
191	2.97552932
192	2.974480194
193	2.971421504
194	2.96467422
195	2.961862325
196	2.956531576
197	2.951189772
198	2.947566157
199	2.943435999
200	2.939765575
201	2.937747124
202	2.93061524
203	2.929470198
204	2.927050374
205	2.918883765
206	2.91290438
207	2.908609546
208	2.902681366
209	2.893413511
210	2.885123435
211	2.881457548
212	2.879490097
213	2.87072114
214	2.864727704
215	2.859396098
216	2.85140746
217	2.847727133
218	2.843679109
219	2.835679333
220	2.828687871
221	2.821197947
222	2.816840868
223	2.814039966
224	2.805769615
225	2.798925583
226	2.791017249
227	2.786463169
228	2.782628355
229	2.77497438
230	2.770687331
231	2.763224964
232	2.760557799
233	2.753529612
234	2.743519825
235	2.736676184
236	2.732956992
237	2.730503772
238	2.721830591
239	2.713440814
240	2.706987639
241	2.70457706
242	2.696129839
243	2.689450216
244	2.683987762
245	2.679235093
246	2.67251723
247	2.670086968
248	2.66737999
249	2.665923796
250	2.661421816
251	2.660015507
252	2.656633069
253	2.646764103
254	2.638454318
255	2.631834008
256	2.629812255
257	2.623128288
258	2.618352771
259	2.614911904
260	2.61388052
261	2.611413894
262	2.6078439
263	2.606251811
264	2.601265555
265	2.593158839
266	2.59174489
267	2.588213907
268	2.585553406
269	2.577168643
270	2.569601425
271	2.567854781
272	2.559537199
273	2.558045249
274	2.554879776
275	2.54867728
276	2.545996344
277	2.540686335
278	2.53939059
279	2.535331874
280	2.529988368
281	2.528722341
282	2.525119808
283	2.519411709
284	2.510006844
285	2.500497825
286	2.495568767
287	2.489533362
288	2.484554522
289	2.48122564
290	2.47365104
291	2.47086155
292	2.469191069
293	2.466272089
294	2.460643517
295	2.456482294
296	2.455054812
297	2.448846546
298	2.444931523
299	2.441312724
300	2.433596342
301	2.428388401
302	2.426759232
303	2.422637582
304	2.414051453
305	2.411179619
306	2.403953114
307	2.399688471
308	2.396427003
309	2.393316432
310	2.385062421
311	2.380800724
312	2.376086775
313	2.368414182
314	2.362526694
315	2.357481652
316	2.352177638
317	2.345813294
318	2.342954016
319	2.338203679
320	2.336615458
321	2.332236574
322	2.330469882
323	2.324026914
324	2.320809021
325	2.317956659
326	2.312409362
327	2.304999609
328	2.298938608
329	2.296591921
330	2.295495289
331	2.28923988
332	2.282407582
333	2.279208949
334	2.27249564
335	2.270489493
336	2.268669176
337	2.267912672
338	2.265527621
339	2.262305082
340	2.257537367
341	2.252886401
342	2.246966182
343	2.242777393
344	2.239590098
345	2.231856043
346	2.229483769
347	2.22344367
348	2.222680917
349	2.220312253
350	2.21443138
351	2.209935483
352	2.20580051
353	2.204588793
354	2.203504246
355	2.19920343
356	2.19816428
357	2.191922304
358	2.188973714
359	2.184841425
360	2.184130614
361	2.181638498
362	2.180433407
363	2.179164477
364	2.17799843
365	2.173958799
366	2.166790229
367	2.161703894
368	2.159516068
369	2.155252669
370	2.154584661
371	2.148493703
372	2.144004114
373	2.140834017
374	2.138959935
375	2.13384709
376	2.128783688
377	2.128129929
378	2.125659921
379	2.120633791
380	2.115982657
381	2.112146751
382	2.110169385
383	2.108785253
384	2.104426915
385	2.103029957
386	2.099541337
387	2.093225596
388	2.086311232
389	2.083205594
390	2.076811751
391	2.073960411
392	2.068779985
393	2.067839712
394	2.065708376
395	2.063635043
396	2.058751979
397	2.052513494
398	2.04671425
399	2.042961024
400	2.041284061
401	2.038360621
402	2.033811287
403	2.029544213
404	2.027127032
405	2.021990121
406	2.021070866
407	2.019759738
408	2.01490786
409	2.013123816
410	2.008928806
411	2.003874911
412	2.000935769
413	1.997201205
414	1.996660464
415	1.994775131
416	1.9930628
417	1.988739192
418	1.9858436
419	1.981441269
420	1.980838019
421	1.976368953
422	1.973825518
423	1.970025788
424	1.968685202
425	1.968139438
426	1.963824217
427	1.961298448
428	1.958539317
429	1.957982445
430	1.952797341
431	1.949521688
432	1.944825523
433	1.940594825
434	1.936451559
435	1.933673932
436	1.931445455
437	1.930775699
438	1.927906702
439	1.925063864
440	1.920570142
441	1.919789906
442	1.917679668
443	1.914271612
444	1.912691664
445	1.909128054
446	1.908589102
447	1.905106361
448	1.900072764
449	1.89795415
450	1.894113727
451	1.889693277
452	1.887635427
453	1.8871375
454	1.884052439
455	1.878867336
456	1.875008692
457	1.873354765
458	1.870663299
459	1.865706244
460	1.864384027
461	1.861117564
462	1.85978569
463	1.855270181
464	1.851205382
465	1.848343214
466	1.844476078
467	1.840426664
468	1.837308748
469	1.83332329
470	1.832467517
471	1.828413066
472	1.826721973
473	1.825873398
474	1.823868085
475	1.821342059
476	1.820869902
477	1.819501238
478	1.815864946
479	1.813153263
480	1.811461486
481	1.808272731
482	1.805650972
483	1.802928399
484	1.802034912
485	1.797585535
486	1.796677919
487	1.793555258
488	1.793107251
489	1.791721802
490	1.790801049
491	1.786179152
492	1.783643201
493	1.780145293
494	1.777437726
495	1.775578915
496	1.772399829
497	1.770127187
498	1.766527985
499	1.764663032
500	1.763004319
501	1.759585974
502	1.756198187
503	1.752931459
504	1.749237986
505	1.747556562
506	1.746430307
507	1.744309973
508	1.742160513
509	1.73899168
510	1.735342164
511	1.731583071
512	1.728624386
513	1.726996896
514	1.723136411
515	1.722368278
516	1.719596685
517	1.7156428
518	1.71490251
519	1.711281808
520	1.70951963
521	1.707314385
522	1.70353128
523	1.702728949
524	1.699652108
525	1.695045446
526	1.693122022
527	1.689511027
528	1.686848372
529	1.683295422
530	1.680668235
531	1.67706966
532	1.675750294
533	1.675033833
534	1.671225858
535	1.667619243
536	1.663948999
537	1.662734736
538	1.659689173
539	1.657045054
540	1.656407321
541	1.65419189
542	1.652364702
543	1.651670018
544	1.648962431
545	1.645857505
546	1.642977977
547	1.63992848
548	1.638018294
549	1.636125647
550	1.633250321
551	1.632392061
552	1.628153512
553	1.624663335
554	1.6229047
555	1.620519497
556	1.619081411
557	1.618098493
558	1.614748696
559	1.612958539
560	1.611473137
561	1.608717383
562	1.606039442
563	1.602753519
564	1.599661889
565	1.59892839
566	1.595858892
567	1.593082899
568	1.589659723
569	1.587772768
570	1.587058875
571	1.585617288
572	1.584412485
573	1.58250951
574	1.578769235
575	1.575951403
576	1.573525373
577	1.572823003
578	1.570535925
579	1.569176183
580	1.568666345
581	1.565204148
582	1.562117634
583	1.560982345
584	1.559237857
585	1.556470261
586	1.555002693
587	1.55211345
588	1.550129754
589	1.547520599
590	1.545815519
591	1.543444646
592	1.541567107
593	1.539800081
594	1.536636695
595	1.535430284
596	1.532816893
597	1.532124492
598	1.530714338
599	1.527751597
600	1.526323736
601	1.524693516
602	1.523839613
603	1.520546862
604	1.517969537
605	1.515606144
606	1.513237827
607	1.510837722
608	1.508532926
609	1.508039137
610	1.505751847
611	1.503796018
612	1.50019744
613	1.499669369
614	1.498532285
615	1.49732138
616	1.493976495
617	1.492849939
618	1.492320441
619	1.488577179
620	1.485644575
621	1.484554837
622	1.4820731
623	1.479205802
624	1.478404229
625	1.477960046
626	1.477308237
627	1.473664443
628	1.470504989
629	1.46866518
630	1.467051547
631	1.463948689
632	1.463545157
633	1.461238325
634	1.45754333
635	1.454349279
636	1.451434551
637	1.451049889
638	1.448427725
639	1.445941249
640	1.442855563
641	1.441466159
642	1.438844831
643	1.436918859
644	1.435537079
645	1.432839757
646	1.43147386
647	1.428499566
648	1.425592433
649	1.423303282
650	1.42149968
651	1.419194131
652	1.418313684
653	1.415801171
654	1.412963089
655	1.412337319
656	1.410370826
657	1.407483196
658	1.404883279
659	1.404376742
660	1.402099757
661	1.401027871
662	1.397801705
663	1.395847717
664	1.394066978
665	1.392121905
666	1.389580875
667	1.389041513
668	1.38583644
669	1.382650702
670	1.381125519
671	1.379746193
672	1.379407684
673	1.377075816
674	1.375934864
675	1.37546596
676	1.374319174
677	1.372712274
678	1.370144653
679	1.368127076
680	1.366700741
681	1.364766842
682	1.362285279
683	1.36058339
684	1.357829523
685	1.356796179
686	1.35619862
687	1.35433671
688	1.351935419
689	1.351615854
690	1.348965562
691	1.346126703
692	1.34373053
693	1.341945522
694	1.339857549
695	1.33719059
696	1.33504153
697	1.334154688
698	1.331892223
699	1.329794897
700	1.328776212
701	1.326419399
702	1.326048761
703	1.324971445
704	1.323552613
705	1.321235965
706	1.318804861
707	1.31773946
708	1.315542519
709	1.315223259
710	1.313290616
711	1.31057134
712	1.308741501
713	1.308057238
714	1.307274545
715	1.305410739
716	1.303003358
717	1.302746664
718	1.300299955
719	1.297538016
720	1.295115354
721	1.293423238
722	1.29243392
723	1.291422215
724	1.288858847
725	1.288481847
726	1.286191633
727	1.283894391
728	1.281350713
729	1.278903442
730	1.277070974
731	1.274954537
732	1.272254557
733	1.270643606
734	1.269803925
735	1.268039322
736	1.267717697
737	1.266261006
738	1.265809503
739	1.263443491
740	1.261071327
741	1.258831493
742	1.257371971
743	1.255461744
744	1.253213297
745	1.251481017
746	1.24949003
747	1.247031
748	1.244778906
749	1.242553105
750	1.241713004
751	1.240349913
752	1.237869222
753	1.235397468
754	1.233727894
755	1.232165216
756	1.231330487
757	1.229342755
758	1.229088493
759	1.227792275
760	1.226624262
761	1.224843488
762	1.223160623
763	1.220520986
764	1.218421153
765	1.216516112
766	1.215557886
