iter	Passed	Remaining
0	121	121820
1	125	62494
2	126	42139
3	128	31914
4	129	25711
5	130	21661
6	132	18757
7	133	16547
8	134	14823
9	135	13446
10	136	12314
11	140	11580
12	142	10792
13	143	10128
14	144	9519
15	146	8986
16	147	8516
17	148	8098
18	149	7738
19	151	7406
20	152	7126
21	155	6909
22	156	6661
23	157	6424
24	159	6205
25	160	6000
26	161	5816
27	163	5662
28	164	5499
29	165	5348
30	166	5206
31	169	5136
32	171	5023
33	172	4903
34	173	4789
35	175	4689
36	176	4586
37	177	4489
38	178	4397
39	179	4309
40	180	4227
41	182	4171
42	185	4120
43	187	4074
44	189	4012
45	190	3944
46	191	3880
47	192	3816
48	193	3758
49	194	3702
50	195	3646
51	198	3611
52	200	3583
53	202	3540
54	203	3491
55	204	3444
56	205	3398
57	206	3359
58	208	3320
59	209	3279
60	210	3239
61	211	3201
62	214	3196
63	216	3164
64	218	3140
65	219	3112
66	221	3086
67	222	3052
68	223	3020
69	224	2988
70	226	2961
71	229	2956
72	230	2932
73	232	2908
74	234	2887
75	235	2859
76	236	2832
77	237	2806
78	238	2780
79	240	2760
80	241	2737
81	242	2717
82	245	2707
83	247	2696
84	248	2673
85	249	2651
86	250	2629
87	251	2609
88	253	2594
89	254	2574
90	255	2554
91	256	2534
92	259	2534
93	261	2520
94	262	2502
95	263	2484
96	264	2466
97	266	2454
98	267	2437
99	268	2420
100	270	2403
101	271	2387
102	272	2374
103	275	2375
104	277	2363
105	278	2349
106	280	2338
107	281	2324
108	282	2309
109	283	2295
110	284	2281
111	286	2270
112	287	2257
113	289	2252
114	292	2247
115	293	2237
116	294	2224
117	295	2211
118	296	2198
119	298	2185
120	299	2177
121	300	2165
122	301	2152
123	302	2140
124	306	2144
125	308	2137
126	309	2125
127	310	2114
128	311	2104
129	313	2097
130	314	2086
131	315	2076
132	316	2065
133	317	2054
134	319	2049
135	322	2048
136	323	2040
137	325	2033
138	326	2025
139	328	2015
140	329	2005
141	330	1995
142	331	1987
143	333	1979
144	334	1970
145	337	1971
146	339	1967
147	340	1959
148	341	1950
149	342	1940
150	343	1931
151	344	1924
152	346	1917
153	347	1909
154	348	1900
155	349	1892
156	353	1896
157	354	1891
158	356	1883
159	357	1875
160	358	1868
161	359	1861
162	361	1853
163	362	1845
164	363	1838
165	364	1831
166	367	1832
167	368	1826
168	370	1820
169	371	1814
170	373	1808
171	374	1801
172	375	1794
173	376	1786
174	377	1781
175	379	1776
176	380	1768
177	383	1769
178	385	1768
179	386	1761
180	387	1754
181	388	1747
182	389	1740
183	391	1735
184	392	1730
185	393	1723
186	394	1716
187	395	1710
188	399	1713
189	401	1709
190	402	1703
191	403	1696
192	404	1692
193	406	1687
194	407	1681
195	408	1674
196	409	1668
197	410	1663
198	413	1664
199	415	1661
200	417	1657
201	419	1657
202	420	1652
203	422	1648
204	423	1644
205	426	1642
206	429	1646
207	433	1648
208	434	1644
209	435	1639
210	437	1634
211	439	1632
212	440	1628
213	442	1624
214	447	1632
215	448	1629
216	450	1624
217	453	1625
218	454	1621
219	455	1616
220	457	1612
221	461	1617
